Word,ONsize,Frequency,NumSemFeats
gulf,3,0.037486725,8
gull,11,0.026185634,13
talk,8,0.07808535,9
flat,8,0.050854016,2
skip,7,0.04915678,4
stab,8,0.042301256,6
neon,2,0.03359011,13
brew,5,0.03256961,7
teal,11,0.020345205,5
flan,7,0.02949011,11
fall,11,0.06264106,8
nine,9,0.058238693,8
rise,10,0.051206782,5
tilt,7,0.0316031,5
hymn,0,0.029216537,10
oval,2,0.027791077,7
maul,3,0.016727561,9
flog,6,0.016254207,7
dive,12,0.045269165,6
halo,3,0.029122947,6
slum,9,0.027330322,12
pave,11,0.018379798,3
duke,7,0.050494052,13
wipe,7,0.04741635,5
stud,3,0.040481634,4
slam,14,0.03908857,4
turd,3,0.033320136,8
nuke,3,0.032134052,12
ooze,2,0.02062958,6
tint,7,0.016254207,7
show,7,0.07370818,11
pull,10,0.0642951,6
draw,3,0.054234084,7
ogre,1,0.028010655,6
trio,2,0.02744911,5
grad,5,0.033696298,7
dude,5,0.061269596,5
test,12,0.059959322,11
wind,11,0.05723979,4
dump,8,0.051593743,7
pink,12,0.051498353,5
navy,1,0.050693832,9
trim,4,0.036705602,6
wail,12,0.024337215,9
cast,11,0.049876712,9
dell,14,0.032323033,3
taut,2,0.022593185,4
mess,6,0.05938518,3
scum,2,0.043253362,5
chap,5,0.0397923,1
pawn,5,0.03681359,5
sigh,3,0.03490758,7
isle,1,0.026966758,8
pair,5,0.053598747,4
junk,8,0.046685625,6
bend,11,0.04652364,3
helm,2,0.03845863,7
flex,5,0.025316318,6
five,8,0.06951099,11
nick,10,0.057326183,2
lima,4,0.02684257,5
base,10,0.053193785,3
yell,10,0.048093088,9
bail,14,0.047630534,10
leap,6,0.040168464,5
grub,1,0.033208545,7
skit,8,0.02398265,10
lisp,2,0.018743362,7
cold,11,0.06337359,7
vote,3,0.05295981,8
swap,9,0.035429526,9
sewn,2,0.02744911,10
gust,9,0.019742265,7
lacy,5,0.021912852,11
vane,8,0.016727561,4
boss,4,0.06301363,11
pack,13,0.05486762,7
thin,5,0.048807617,2
tops,3,0.04093159,1
peer,11,0.028735984,3
oily,1,0.025161535,7
bury,7,0.048996598,6
java,1,0.028735984,9
hunt,9,0.050747827,9
roar,5,0.03622865,6
chum,1,0.034104858,5
damp,7,0.033748493,7
thaw,2,0.029027555,5
team,7,0.06435629,8
heat,11,0.05416929,7
pale,13,0.041608322,2
wage,9,0.034252442,8
duel,4,0.03206926,10
lash,11,0.02940012,9
club,2,0.0612174,5
mash,15,0.03691798,8
unit,1,0.05336837,7
bang,9,0.048732024,7
muck,11,0.030420618,5
mesa,3,0.02744911,9
prod,4,0.022593185,4
hard,10,0.07010133,4
blue,3,0.061498173,7
lair,4,0.032260038,7
skim,6,0.024162631,3
arts,2,0.042691816,7
taps,2,0.032690197,6
blow,8,0.06112201,5
loud,3,0.054118898,6
bust,12,0.05124638,7
beau,6,0.039140765,8
area,0,0.059057612,7
loan,6,0.04868523,9
prom,3,0.047814116,12
rode,10,0.043629523,4
trip,5,0.059800938,6
left,4,0.07364518,5
hang,8,0.064363495,5
buzz,1,0.046978995,4
stop,5,0.07660409,9
hold,10,0.07283526,3
side,8,0.066766255,3
chug,2,0.032004464,5
snip,4,0.03125214,4
fest,13,0.027791077,10
glop,6,0.0031694893,8
mush,13,0.033429924,5
orgy,0,0.029580101,6
soar,9,0.028735984,6
boom,8,0.049414158,5
chat,4,0.047130182,6
demo,1,0.034680802,6
jock,8,0.04247404,6
ding,8,0.03937294,2
glow,7,0.039007578,6
diva,1,0.028735984,8
typo,2,0.022373607,8
mile,17,0.049120788,7
idol,0,0.033320136,8
brat,5,0.039621316,4
peek,13,0.038429834,4
snag,5,0.030420618,3
slid,6,0.030177642,3
