file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
affair,0.0,0.6266213151927438,MFA_Ready,-43.85306609623016,-43.97101926803589,2.5899828039457926,12.063561259712998
manure,0.0,0.6996145124716553,MFA_Ready,-51.334995814732146,-48.728311920166014,2.5899828039457926,13.759595851510092
concept,0.0,0.650045351473923,MFA_Ready,-46.49070763221154,-48.420622144426616,2.571617006188548,9.558173707690948
footstep,0.0,0.6429705215419501,MFA_Ready,-55.14226150512695,-57.445734296526226,2.571614923337168,3.649031551231751
retreat,0.0,0.6690929705215419,MFA_Ready,-51.21460689715485,-50.77841313680013,2.554458129185983,10.039362435136347
bouquet,0.0,0.5530385487528344,MFA_Ready,-49.505859375,-55.570176124572754,2.524181949029554,7.342277936190321
havoc,0.0,0.7249433106575963,MFA_Ready,-53.181671142578125,-52.443484497070315,2.5179111644112373,11.195083819884207
compact,0.0,0.7789342403628118,MFA_Ready,-57.54017052283654,-59.16605595179966,2.483955115547169,8.956483833919375
estate,0.0,0.8221541950113379,MFA_Ready,-49.70994902820122,-54.02740249633789,2.4574242829586304,4.475738960792096
defeat,0.0,0.8126984126984127,MFA_Ready,-51.289749710648145,-49.95871810913086,2.4574237996346415,2.9688346744935643
merit,0.0,1.0954648526077098,MFA_Ready,-45.703471235795455,-39.931483840942384,2.4574233163106527,5.026507682619339
helmet,0.0,0.5289795918367347,MFA_Ready,-45.617099977889154,-45.694631576538086,2.4371646011447763,13.521837517318339
trombone,0.0,0.7978458049886621,MFA_Ready,-44.64070129394531,-46.3650016784668,2.4342017297415115,5.478990918714022
fire,0.0,0.6786167800453514,MFA_Ready,-34.605906767003674,-34.27841377258301,2.428755952063776,4.317643757261024
palace,0.0,0.8155555555555556,MFA_Ready,-47.240457674352136,-46.723358154296875,2.421542765600606,15.081526571230636
crisis,0.0,0.9096825396825396,MFA_Ready,-47.30233731112637,-48.0156504313151,2.421542765600606,2.380064682709925
recess,0.0,0.8631292517006802,MFA_Ready,-46.234460165334305,-44.839306640625,2.4215414013440864,11.739816991061247
marriage,0.0,0.9451927437641723,MFA_Ready,-45.06977796052632,-39.605831146240234,2.3911476644481575,13.056853629884674
friction,0.0,0.7528571428571429,MFA_Ready,-49.9852734375,-50.694737570626394,2.3876111607485084,6.643998028133769
widow,0.0,0.6730158730158731,MFA_Ready,-45.95674702658582,-46.2268648147583,2.366078275207361,8.145207381384939
failure,0.0,0.5490022675736962,MFA_Ready,-41.81495916193182,-39.93559455871582,2.3659704495573726,3.8676471370180288
permit,0.0,0.53281179138322,MFA_Ready,-51.74255601415094,-51.902880096435545,2.365969676622161,9.49852267423362
blessing,0.0,0.9163718820861678,MFA_Ready,-50.05004352072011,-51.343526204427086,2.363449086234669,5.357852957457801
author,0.0,0.6008616780045352,MFA_Ready,-51.401448567708336,-50.89409510294596,2.357496573693393,8.104042148303755
display,0.0,0.7552607709750567,MFA_Ready,-46.831857781661185,-49.035956700642906,2.351799187961924,10.619657701062554
captain,0.0,0.6661678004535148,MFA_Ready,-54.62197192747202,-54.507181803385414,2.343246517170782,16.737393496762508
balloon,0.0,0.5536961451247165,MFA_Ready,-39.99802468039773,-45.31555709838867,2.3373728019622964,4.889426602986166
cable,0.0,0.6030612244897959,MFA_Ready,-48.209468587239584,-48.24402275085449,2.3349669590124127,10.13244692635869
object,0.0,0.724172335600907,MFA_Ready,-53.160909016927086,-54.04066848754883,2.3349658069798775,3.8827590593045294
subject,0.0,1.0251927437641724,MFA_Ready,-51.17879626820388,-51.40721675327846,2.3349658069798775,14.323899333828937
baby,0.0,0.6247392290249433,MFA_Ready,-44.389345230594756,-49.81016159057617,2.3349658069798775,12.43983060516371
insult,0.0,0.6594104308390023,MFA_Ready,-52.63760653409091,-50.76852989196777,2.3273607667711755,6.091420079365221
function,0.0,0.7246031746031746,MFA_Ready,-45.667575412326386,-46.392752511160715,2.3273607667711755,5.655726652612184
hardship,0.0,0.8297732426303854,MFA_Ready,-51.58719055911145,-49.48749378749302,2.320607227921032,4.78386575747702
repair,0.0,0.5863945578231292,MFA_Ready,-48.19047106726695,-47.43569984436035,2.320606186495342,4.987498083082958
motive,0.0,0.8247392290249433,MFA_Ready,-44.756886552019814,-44.89911880493164,2.3054266902961587,12.537072008627995
wisdom,0.0,0.7463492063492063,MFA_Ready,-50.919300130208335,-52.08845074971517,2.305421481273559,3.02704961578166
neglect,0.0,0.8050113378684808,MFA_Ready,-53.42333381558642,-50.43470164707729,2.2952473351399076,9.984941517917814
minute,0.0,0.6509750566893424,MFA_Ready,-45.48318810096154,-43.162959289550784,2.2952473351399076,7.100061426847976
spirit,0.0,0.8407709750566893,MFA_Ready,-52.117146809895836,-48.70137468973795,2.2952473351399076,6.628295569360372
oven,0.0,0.5233786848072562,MFA_Ready,-42.48067533052885,-41.90643787384033,2.2913706683499395,6.335852295248227
theory,0.0,0.6012471655328798,MFA_Ready,-43.9982421875,-42.81905555725098,2.287532091347958,10.031034914475029
inside,0.0,0.6700680272108843,MFA_Ready,-45.51504562150186,-45.32803726196289,2.2875317043198127,7.728161519072717
mystic,0.0,0.7741043083900226,MFA_Ready,-49.24260919744318,-49.698886235555015,2.2800968524940113,11.615057545278002
outbreak,0.0,0.7894784580498866,MFA_Ready,-50.34908709948576,-49.12258084615072,2.2800968524940113,5.828906023320027
necklace,0.0,1.0882993197278912,MFA_Ready,-49.204115001433486,-48.91805330912272,2.2800954350046765,10.099182234926229
pollen,0.0,0.643015873015873,MFA_Ready,-46.811317443847656,-45.055545043945315,2.2684371333552096,12.48955331552797
