word,cosine_similarity,clean_norm,noisy_norm
question,0.7275178,24.884727,22.058935
quiet,0.7786297,32.143826,23.225233
rabbi,0.73500496,32.403152,17.558716
rabbit,0.71999735,34.133236,21.723597
racket,0.5883056,25.279654,15.116907
radish,0.6577148,33.995174,25.102646
railroad,0.6462595,39.115887,34.420868
rating,0.55070156,34.027473,21.185669
ration,0.70822006,22.485197,15.766767
razor,0.48558086,32.14263,22.410957
reading,0.34925488,41.24225,19.139914
real,0.5316672,34.965553,24.3052
reason,0.40279296,41.453487,27.196077
recall,0.5760321,34.46597,21.551619
receipt,0.42509115,36.606113,18.026627
recess,0.39822966,28.327688,19.364244
record,0.7186047,30.746897,17.433292
recruit,0.59148204,38.513287,28.086363
reflex,0.52752554,21.308771,18.33469
refrain,0.38034096,39.58862,26.330896
refuse,0.53090507,37.983223,16.13289
regret,0.6587477,26.364307,25.4576
relief,0.52603275,39.382,23.819778
remark,0.640011,50.562668,24.562445
repair,0.5863991,23.898958,36.352047
reptile,0.6463978,32.01412,20.863756
rescue,0.62700826,33.18829,23.41232
research,0.4338553,41.102646,17.876171
resort,0.6488044,45.09772,35.19292
respect,0.6093754,31.485786,18.500385
response,0.589817,24.06643,15.590815
retreat,0.45487845,37.523315,19.798868
revenge,0.4871972,36.654865,23.462471
revolt,0.627414,40.02901,28.270796
reward,0.6832512,44.87383,30.654356
ribbon,0.5281935,41.537086,20.871292
riddle,0.63399523,35.789215,27.627731
rifle,0.64066756,27.041704,16.542265
riot,0.76194715,29.546024,20.486143
river,0.6120029,29.003668,18.590982
robber,0.70777273,34.584995,21.21096
robin,0.6346527,37.691193,25.372658
rocker,0.6631133,28.429012,18.256168
rocket,0.7369784,28.497858,19.852112
romance,0.47397286,38.52108,17.221876
routine,0.3602447,41.90676,9.920465
rubber,0.6575129,30.95286,27.16061
ruler,0.59073776,46.47778,31.380854
rumble,0.65572375,35.187088,28.18723
runner,0.5675068,40.741203,25.368124
safety,0.4898647,23.559679,16.37878
salad,0.68301636,18.038996,23.83162
salute,0.6191231,29.679432,25.624857
sandal,0.5023321,28.674522,20.475882
saucer,0.74394953,21.6072,24.254879
scholar,0.6985628,33.654175,24.884293
scissors,0.57792395,26.02163,17.156187
scooter,0.4128269,42.942154,23.035608
season,0.27983737,35.36464,17.1116
seaweed,0.39224464,31.260876,7.816492
second,0.65194565,22.35141,16.365965
